Title,Status,Prio,Deadline,tags,Importance/damage/value,domain,Date,time estimate,ROI,Urgency,days left,new prio,time pressure,wish date
boundaries,1 Research,44.183333333223,,growth,8 - extreme,skills,"August 2, 2023 2:13 PM",60 - epic,0.133333333333,30 - this month,-241,32.133333333253,32.133333333253,"September 1, 2023 2:13 PM"
vision,1 Planning,44.183333333223,,growth,8 - extreme,,"August 2, 2023 2:10 PM",60 - epic,0.133333333333,30 - this month,-241,32.133333333253,32.133333333253,"September 1, 2023 2:10 PM"
learn to care about my own well-being,1 waiting,42.533333333227,,"growth, idea, self-care",8 - extreme,,"August 11, 2023 12:25 AM",60 - epic,0.133333333333,30 - this month,-232,30.933333333256,30.933333333256,"September 10, 2023 12:25 AM"
self-care. boredom. reflection.,1 ongoing,38.683333333237,,"growth, self-care",8 - extreme,habits,"August 31, 2023 10:25 PM",60 - epic,0.133333333333,30 - this month,-211,28.133333333263,28.133333333263,"September 30, 2023 10:25 PM"
resilience or impulse control,1 Not started,37.749999999962,,growth,5 - super,health,"August 2, 2023 1:55 PM",15 - quest,0.333333333333,120 - this quarter,-151,50.333333333283,50.333333333283,"November 30, 2023 12:55 PM"
dreams,1 Not started,37.749999999962,,growth,5 - super,health,"August 2, 2023 1:54 PM",15 - quest,0.333333333333,120 - this quarter,-151,50.333333333283,50.333333333283,"November 30, 2023 12:54 PM"
money/Budget,1 - In progress,37.2,,,3 - very,finance,"July 25, 2023 11:26 PM",15 - quest,0.2,30 - this month,-248,49.6,49.6,"August 24, 2023 11:26 PM"
money/Expenses,1 - In progress,37.2,,,3 - very,finance,"July 25, 2023 11:26 PM",15 - quest,0.2,30 - this month,-248,49.6,49.6,"August 24, 2023 11:26 PM"
Feierabend,1 Not started,36.15,,habit,3 - very,habits,"August 2, 2023 2:09 PM",15 - quest,0.2,30 - this month,-241,48.2,48.2,"September 1, 2023 2:09 PM"
learn to be assertive,1 Not started,35.499999999965,,growth,5 - super,skills,"August 11, 2023 12:24 AM",15 - quest,0.333333333333,120 - this quarter,-142,47.333333333286,47.333333333286,"December 8, 2023 11:24 PM"
learn to limit exposure to y,1 Not started,34.8,,"idea, self-care",3 - very,health,"August 11, 2023 12:24 AM",15 - quest,0.2,30 - this month,-232,46.4,46.4,"September 10, 2023 12:24 AM"
mindfulness?,1 Not started,34.8,,"growth, idea, self-care",3 - very,health,"August 11, 2023 12:23 AM",15 - quest,0.2,30 - this month,-232,46.4,46.4,"September 10, 2023 12:23 AM"
career/Spex,1 Not started,33.8125,,,3 - very,career,"October 29, 2022 2:33 PM",60 - epic,0.05,7 - this week,-541,27.05,27.05,"November 5, 2022 1:33 PM"
build a supportive network,1 Research,21.299999999947,,"growth, self-care",8 - extreme,social,"August 11, 2023 12:25 AM",60 - epic,0.133333333333,120 - this quarter,-142,18.933333333286,18.933333333286,"December 8, 2023 11:25 PM"
love/London,1 Not started,20.666666666584,,,5 - super,social,"July 25, 2023 11:24 PM",60 - epic,0.083333333333,30 - this month,-248,20.666666666584,20.666666666584,"August 24, 2023 11:24 PM"
skills/Dating girls,1 Planning,20.666666666584,,,5 - super,social,"July 25, 2023 11:21 PM",60 - epic,0.083333333333,30 - this month,-248,20.666666666584,20.666666666584,"August 24, 2023 11:21 PM"
career/Portfolio,1 Not started,20.666666666584,,,5 - super,career,"July 25, 2023 11:14 PM",60 - epic,0.083333333333,30 - this month,-248,20.666666666584,20.666666666584,"August 24, 2023 11:14 PM"
mind/Meditation,1 Not started,20.666666666584,,habit,5 - super,health,"July 25, 2023 11:13 PM",60 - epic,0.083333333333,30 - this month,-248,20.666666666584,20.666666666584,"August 24, 2023 11:13 PM"
counselling,1 Research,20.083333333253,,growth,5 - super,health,"August 2, 2023 2:12 PM",60 - epic,0.083333333333,30 - this month,-241,20.083333333253,20.083333333253,"September 1, 2023 2:12 PM"
beliefs,1 Not started,20.083333333253,,growth,5 - super,health,"August 2, 2023 1:54 PM",60 - epic,0.083333333333,30 - this month,-241,20.083333333253,20.083333333253,"September 1, 2023 1:54 PM"
Termin für Therapie (Nummer),1 Not started,18.083333333261,,self-care,5 - super,health,"August 25, 2023 11:33 PM",60 - epic,0.083333333333,30 - this month,-217,18.083333333261,18.083333333261,"September 24, 2023 11:33 PM"
Review this,1 - In progress,17.673333333223,,"growth, habit",8 - extreme,organization,"August 2, 2023 1:06 PM",150 - ongoing,0.053333333333,30 - this month,-241,12.853333333253,12.853333333253,"September 1, 2023 1:06 PM"
Journaling,1 ongoing,17.013333333227,,"growth, habit, idea, self-care",8 - extreme,habits,"August 11, 2023 12:23 AM",150 - ongoing,0.053333333333,30 - this month,-232,12.373333333256,12.373333333256,"September 10, 2023 12:23 AM"
"Vodafone Antwort ",1 - In progress,16.5,,,2- mid,organization,"December 9, 2023 9:30 AM",1 - next,2,120 - this quarter,-22,44,44,"April 7, 2024 10:30 AM"
money/Planning,1 - In progress,15.8,,,3 - very,finance,"July 25, 2023 11:26 PM",15 - quest,0.2,120 - this quarter,-158,31.6,31.6,"November 22, 2023 10:26 PM"
Infinitybook Batterie,1 waiting,15.8,,,3 - very,tools,"July 25, 2023 11:18 PM",15 - quest,0.2,120 - this quarter,-158,31.6,31.6,"November 22, 2023 10:18 PM"
work/Feedback,1 Research,15.8,,,3 - very,health,"July 25, 2023 11:15 PM",15 - quest,0.2,120 - this quarter,-158,31.6,31.6,"November 22, 2023 10:15 PM"
money/AmiSchulden,1 waiting,9.875,,,1 - no,finance,"July 25, 2023 11:25 PM",4 - task,0.25,120 - this quarter,-158,39.5,39.5,"November 22, 2023 10:25 PM"
regrets depression,1 Not started,9.437499999962,,growth,5 - super,health,"August 2, 2023 2:10 PM",60 - epic,0.083333333333,120 - this quarter,-151,12.583333333283,12.583333333283,"November 30, 2023 1:10 PM"
networking,1 Not started,9.437499999962,,,5 - super,social,"August 2, 2023 1:00 PM",60 - epic,0.083333333333,120 - this quarter,-151,12.583333333283,12.583333333283,"November 30, 2023 12:00 PM"
skills/Asking questions,1 Not started,9.3,,growth,3 - very,skills,"July 25, 2023 11:21 PM",60 - epic,0.05,30 - this month,-248,12.4,12.4,"August 24, 2023 11:21 PM"
social joy what?,1 Not started,8.999999999991,,"growth, self-care",5 - super,"goals, health, skills, social","March 2, 2024 9:36 PM",15 - quest,0.333333333333,30 - this month,-27,8.999999999991,8.999999999991,"April 1, 2024 10:36 PM"
Managing my habits,1 waiting,8.033333333253,,,5 - super,organization,"August 2, 2023 12:07 AM",150 - ongoing,0.033333333333,30 - this month,-241,8.033333333253,8.033333333253,"September 1, 2023 12:07 AM"
vimify,1 Research,3.775,,growth,3 - very,tools,"August 2, 2023 1:40 PM",60 - epic,0.05,120 - this quarter,-151,7.55,7.55,"November 30, 2023 12:40 PM"
SPEX Vanilla,1 - In progress,3.75,"February 29, 2024",,3 - very,social,"September 6, 2023 1:31 PM",60 - epic,0.05,7 - this week,-60,3,3,"September 13, 2023 1:31 PM"
new job,1 Not started,2.249999999991,,growth,5 - super,goals,"March 2, 2024 9:34 PM",60 - epic,0.083333333333,30 - this month,-27,2.249999999991,2.249999999991,"April 1, 2024 10:34 PM"
habits/Order+Cleanliness,1 Planning,1.58,,,3 - very,habits,"July 25, 2023 11:13 PM",150 - ongoing,0.02,120 - this quarter,-158,3.16,3.16,"November 22, 2023 10:13 PM"
pacing,1 Planning,1.51,,,3 - very,habits,"August 2, 2023 1:10 PM",150 - ongoing,0.02,120 - this quarter,-151,3.02,3.02,"November 30, 2023 12:10 PM"
"Group therapy finden ",1 Next,0,,"growth, self-care",3 - very,health,"December 9, 2023 9:40 AM",,,30 - this month,-112,0,0,"January 8, 2024 9:40 AM"
carreer/feelsify,1 waiting,-0.675000000013,,,1 - no,career,"July 25, 2023 11:23 PM",60 - epic,0.016666666667,360 - this year,81,-1.350000000027,-1.350000000027,"July 19, 2024 11:23 PM"
career/blogOneLearningADay,1 waiting,-1.687499999983,,,2- mid,career,"July 25, 2023 11:24 PM",60 - epic,0.033333333333,360 - this year,81,-2.699999999973,-2.699999999973,"July 19, 2024 11:24 PM"
plan to play a NEW game. 80s style,1 Not started,-3.099999999992,,self-care,2- mid,health,"March 2, 2024 9:35 PM",15 - quest,0.133333333333,120 - this quarter,62,-8.266666666646,-8.266666666646,"June 30, 2024 10:35 PM"
web stuff - but what?,1 Not started,-3.874999999984,,growth,5 - super,skills,"March 2, 2024 9:34 PM",60 - epic,0.083333333333,120 - this quarter,62,-5.166666666646,-5.166666666646,"June 30, 2024 10:34 PM"
game custom engine web?,1 Not started,-3.874999999984,,growth,5 - super,skills,"March 2, 2024 9:33 PM",60 - epic,0.083333333333,120 - this quarter,62,-5.166666666646,-5.166666666646,"June 30, 2024 10:33 PM"
game godot,1 Not started,-3.874999999984,,growth,5 - super,"goals, skills","March 2, 2024 9:32 PM",60 - epic,0.083333333333,120 - this quarter,62,-5.166666666646,-5.166666666646,"June 30, 2024 10:32 PM"
Den alten PC verkaufen,1 Not started,-3.9375,,,2- mid,organization,"January 22, 2024 8:58 AM",4 - task,0.5,120 - this quarter,21,-10.5,-10.5,"May 21, 2024 9:58 AM"
growth/Learning,1 ongoing,-5.939999999963,,habit,8 - extreme,health,"July 25, 2023 11:13 PM",150 - ongoing,0.053333333333,360 - this year,81,-4.319999999973,-4.319999999973,"July 19, 2024 11:13 PM"
goals/GameDev,1 Research,-6.749999999973,,,5 - super,goals,"July 25, 2023 11:21 PM",60 - epic,0.083333333333,360 - this year,81,-6.749999999973,-6.749999999973,"July 19, 2024 11:21 PM"
goals/LinuxDev,1 Research,-6.749999999973,,,5 - super,goals,"July 25, 2023 11:20 PM",60 - epic,0.083333333333,360 - this year,81,-6.749999999973,-6.749999999973,"July 19, 2024 11:20 PM"
count calories,1 Not started,-49.5,,habit,3 - very,physical health,"August 2, 2023 2:29 PM",4 - task,0.75,360 - this year,88,-66,-66,"July 27, 2024 2:29 PM"
bahn ticket,0 - Done,-500,,,3 - very,finance,"August 3, 2023 1:18 PM",1 - next,3,120 - this quarter,-150,450,-1000,"December 1, 2023 12:18 PM"
plan to deal with fears,0 - Done,-500,,growth,1 - no,health,"August 2, 2023 2:10 PM",1 - next,1,360 - this year,88,-88,-1000,"July 27, 2024 2:10 PM"
Talk about Kawaii with Ekaterine,0 - Done,-625,"September 6, 2023",,2- mid,,"September 4, 2023 7:33 PM",1 - next,2,30 - this month,-236,472,-1000,"October 4, 2023 7:33 PM"
Sport abmelden,0 - Done,-750,"December 1, 2023",,5 - super,finance,"January 22, 2024 8:54 AM",1 - next,5,1 - tomorrow,-150,750,-1000,"January 23, 2024 8:54 AM"
"Buhl zahlen ",0 - Cancelled,-750,"February 7, 2024",,3 - very,,"December 9, 2023 9:35 AM",1 - next,3,30 - this month,-82,246,-1000,"January 8, 2024 9:35 AM"
Von Paypal weg (VISA),0 - Done,-750,"January 20, 2024",,3 - very,finance,"December 9, 2023 9:32 AM",1 - next,3,30 - this month,-100,300,-1000,"January 8, 2024 9:32 AM"
"Vodafone esim ",0 - Done,-750,"December 30, 2023",,3 - very,"organization, tools","December 9, 2023 9:31 AM",1 - next,3,30 - this month,-121,363,-1000,"January 8, 2024 9:31 AM"
R+V abarbeiten,0 - Done,-750,"February 4, 2024",,3 - very,,"November 23, 2023 9:12 AM",1 - next,3,30 - this month,-85,255,-1000,"December 23, 2023 9:12 AM"
medication anxiety,0 - Cancelled,-750,,"idea, self-care",3 - very,health,"August 11, 2023 12:28 AM",4 - task,0.75,30 - this month,-232,174,-1000,"September 10, 2023 12:28 AM"
education: troubled relatives,0 - Cancelled,-750,,"idea, self-care",3 - very,health,"August 11, 2023 12:22 AM",4 - task,0.75,30 - this month,-232,174,-1000,"September 10, 2023 12:22 AM"
selfcare/Hair,0 - Done,-750,,self-care,3 - very,physical health,"July 25, 2023 11:21 PM",4 - task,0.75,30 - this month,-248,186,-1000,"August 24, 2023 11:21 PM"
career/Kawaii,0 - Cancelled,-750,"September 9, 2023",,3 - very,career,"July 25, 2023 11:13 PM",4 - task,0.75,30 - this month,-233,174.75,-1000,"August 24, 2023 11:13 PM"
"Analyse Institute ",0 - Cancelled,-1000,"December 10, 2023",,5 - super,health,"December 9, 2023 9:39 AM",1 - next,5,30 - this month,-141,705,-1000,"January 8, 2024 9:39 AM"
"Starke Männer reden ",0 - Cancelled,-1000,"December 10, 2023",,5 - super,,"December 9, 2023 9:38 AM",1 - next,5,30 - this month,-141,705,-1000,"January 8, 2024 9:38 AM"
look for the case where the guy asked a question in a negative way. Because I often say “Do we really need it”,0 - Cancelled,-1000,,growth,5 - super,"skills, social","October 27, 2023 10:17 PM",1 - next,5,30 - this month,-154,770,-1000,"November 26, 2023 9:17 PM"
hautarzt,0 - Done,-1000,,self-care,5 - super,"health, physical health","August 2, 2023 1:04 PM",4 - task,1.25,30 - this month,-241,301.25,-1000,"September 1, 2023 1:04 PM"
work/Pressure,0 - Done,-1000,,idea,5 - super,health,"July 25, 2023 11:14 PM",15 - quest,0.333333333333,30 - this month,-248,82.666666666584,-1000,"August 24, 2023 11:14 PM"
Anmeldung stadt,0 - Done,-1125,"December 1, 2023",,8 - extreme,organization,"January 19, 2024 5:59 PM",1 - next,8,1 - tomorrow,-150,1200,-1000,"January 20, 2024 5:59 PM"
Katzenklo,0 - Done,-1125,"December 9, 2023",,8 - extreme,,"December 9, 2023 9:28 AM",1 - next,8,1 - tomorrow,-142,1136,-1000,"December 10, 2023 9:28 AM"
"Nadine hmg Foto ",0 - Done,-1125,"December 11, 2023",,8 - extreme,,"December 9, 2023 9:27 AM",1 - next,8,1 - tomorrow,-140,1120,-1000,"December 10, 2023 9:27 AM"
Insolvenz oder nicht,0 - Done,-1125,"February 5, 2024",idea,8 - extreme,finance,"September 12, 2023 9:54 PM",15 - quest,0.533333333333,1 - tomorrow,-84,44.799999999972,-1000,"September 13, 2023 9:54 PM"
JOY - find good ways to find joy,0 - Done,-1125,,"growth, idea, self-care",8 - extreme,health,"August 11, 2023 12:23 AM",4 - task,2,120 - this quarter,-142,284,-1000,"December 8, 2023 11:23 PM"
Steuerbescheid an die Handelskammer,0 - Done,-1375,"November 10, 2023",,8 - extreme,,"November 9, 2023 10:48 PM",1 - next,8,30 - this month,-171,1368,-1000,"December 9, 2023 10:48 PM"
Trauma,0 - Done,-1375,,"growth, idea, self-care",8 - extreme,health,"August 14, 2023 11:41 AM",,,30 - this month,-229,0,-1000,"September 13, 2023 11:41 AM"
Reise planen,0 - Cancelled,-1375,"December 9, 2023",,8 - extreme,social,"August 8, 2023 10:35 AM",4 - task,2,30 - this month,-142,284,-1000,"September 7, 2023 10:35 AM"
Stundungen beantragen,0 - Done,-1375,"November 11, 2023",,8 - extreme,finance,"August 8, 2023 10:33 AM",4 - task,2,360 - this year,-170,340,-1000,"August 2, 2024 10:33 AM"
Meal Preparation,0 - Done,-1500,"September 14, 2023",self-care,5 - super,health,"September 12, 2023 10:31 PM",4 - task,1.25,7 - this week,-228,285,-1000,"September 19, 2023 10:31 PM"
"plan networking for ",0 - Done,-1500,"September 15, 2023",,5 - super,organization,"September 9, 2023 1:59 PM",15 - quest,0.333333333333,7 - this week,-227,75.666666666591,-1000,"September 16, 2023 1:59 PM"
Plan savings,0 - Done,-1500,"August 31, 2023",,5 - super,finance,"August 31, 2023 12:00 AM",4 - task,1.25,7 - this week,-242,302.5,-1000,"September 7, 2023 12:00 AM"
"Laptop zurück ",0 - Done,-1875,"January 20, 2024",,8 - extreme,organization,"January 13, 2024 8:14 AM",1 - next,8,7 - this week,-100,800,-1000,"January 20, 2024 8:14 AM"
what are triggrs of anxiety?,0 - Done,-1875,,"growth, idea, self-care",8 - extreme,health,"August 11, 2023 12:29 AM",4 - task,2,7 - this week,-255,510,-1000,"August 18, 2023 12:29 AM"
money/Aok Steuer,0 - Done,-1875,"December 15, 2023",,8 - extreme,"career, finance, organization","April 5, 2023 10:28 PM",4 - task,2,7 - this week,-136,272,-1000,"April 12, 2023 10:28 PM"
"Spex ",1 Not started,,,,,,"December 9, 2023 9:41 AM",,0,,,,,
